customer_id,recency,frequency,monetary,recency_score,frequency_score,monetary_score,rfm_score,customer_segment
75,169,5,505220.10000000003,1,1,2,4,Low Value
76,64,5,239917.36000000002,2,1,1,4,Low Value
77,24,12,718231.39,3,3,3,9,Medium Value
78,47,4,160940.88,2,1,1,4,Low Value
79,151,8,599027.63,1,1,3,5,Low Value
80,9,12,897346.58,4,3,4,11,High Value
81,87,9,450316.09,1,2,2,5,Low Value
82,9,15,633856.67,4,4,3,11,High Value
83,185,13,643850.21,1,4,3,8,Medium Value
84,6,9,821841.24,4,2,4,10,High Value
85,32,13,706011.03,3,4,3,10,High Value
86,6,11,392415.9,4,3,1,8,Medium Value
87,83,5,320708.92,1,1,1,3,Low Value
88,88,10,619628.9199999999,1,2,3,6,Low Value
89,2,9,832830.22,4,2,4,10,High Value
90,4,11,696619.28,4,3,3,10,High Value
91,44,6,198497.62,2,1,1,4,Low Value
92,12,18,1182803.83,4,4,4,12,High Value
93,26,9,326714.19,3,2,1,6,Low Value
94,249,7,467974.89,1,1,2,4,Low Value
95,74,6,390761.98,2,1,1,4,Low Value
96,199,9,525388.88,1,2,2,5,Low Value
97,90,8,540114.92,1,1,2,4,Low Value
98,68,10,542243.1599999999,2,2,2,6,Low Value
99,24,12,617133.38,3,3,3,9,Medium Value
100,37,12,668084.16,3,3,3,9,Medium Value
101,9,14,616966.08,4,4,3,11,High Value
102,13,11,907512.88,4,3,4,11,High Value
103,31,14,1023272.92,3,4,4,11,High Value
104,3,9,465105.78,4,2,2,8,Medium Value
105,1,11,758266.99,4,3,4,11,High Value
106,28,8,376230.6,3,1,1,5,Low Value
107,41,21,1247449.72,2,4,4,10,High Value
108,10,9,436017.77999999997,4,2,2,8,Medium Value
109,44,7,406786.61,2,1,1,4,Low Value
110,67,13,756229.09,2,4,4,10,High Value
111,19,14,908377.44,3,4,4,11,High Value
112,14,17,829709.86,4,4,4,12,High Value
113,89,9,359318.59,1,2,1,4,Low Value
114,32,9,321996.31,3,2,1,6,Low Value
115,76,7,521728.52999999997,2,1,2,5,Low Value
116,41,7,582204.35,2,1,3,6,Low Value
117,156,10,527955.62,1,2,2,5,Low Value
118,25,10,605475.02,3,2,3,8,Medium Value
119,71,12,456021.44,2,3,2,7,Medium Value
120,132,6,288831.33999999997,1,1,1,3,Low Value
121,46,15,717536.61,2,4,3,9,Medium Value
122,139,12,693106.77,1,3,3,7,Medium Value
123,29,8,272048.98,3,1,1,5,Low Value
124,25,12,575861.1,3,3,3,9,Medium Value
125,33,8,371537.95999999996,3,1,1,5,Low Value
126,100,10,356805.54000000004,1,2,1,4,Low Value
127,101,8,533817.89,1,1,2,4,Low Value
128,68,7,452518.97,2,1,2,5,Low Value
129,121,6,390901.74,1,1,1,3,Low Value
130,100,9,359167.9,1,2,1,4,Low Value
131,163,9,668436.38,1,2,3,6,Low Value
132,7,16,1096565.97,4,4,4,12,High Value
133,245,6,445528.65,1,1,2,4,Low Value
134,49,14,1020070.94,2,4,4,10,High Value
135,1,7,354722.04000000004,4,1,1,6,Low Value
136,16,12,693574.38,4,3,3,10,High Value
137,8,9,428903.99,4,2,2,8,Medium Value
138,65,10,395649.25,2,2,1,5,Low Value
139,160,15,747106.4,1,4,4,9,Medium Value
140,8,9,505087.4,4,2,2,8,Medium Value
141,25,8,679122.54,3,1,3,7,Medium Value
142,236,9,492706.97,1,2,2,5,Low Value
143,98,10,355863.47,1,2,1,4,Low Value
144,6,9,436423.35,4,2,2,8,Medium Value
145,6,5,339527.86,4,1,1,6,Low Value
146,20,6,389183.11,3,1,1,5,Low Value
147,103,8,532248.0,1,1,2,4,Low Value
148,104,8,349923.63,1,1,1,3,Low Value
149,21,9,696430.1799999999,3,2,3,8,Medium Value
150,80,8,286449.78,2,1,1,4,Low Value
151,15,11,609510.02,4,3,3,10,High Value
152,102,11,699435.24,1,3,3,7,Medium Value
153,81,8,321228.36,2,1,1,4,Low Value
154,22,10,564912.67,3,2,3,8,Medium Value
155,85,8,505844.63,1,1,2,4,Low Value
156,168,9,439555.49,1,2,2,5,Low Value
157,54,7,291289.11,2,1,1,4,Low Value
158,185,8,254574.71,1,1,1,3,Low Value
159,134,7,457975.25,1,1,2,4,Low Value
160,47,10,524172.92,2,2,2,6,Low Value
161,52,15,1187930.23,2,4,4,10,High Value
162,3,12,509006.86,4,3,2,9,Medium Value
163,6,8,446596.9,4,1,2,7,Medium Value
164,94,6,292967.4,1,1,1,3,Low Value
165,3,15,584896.13,4,4,3,11,High Value
166,4,8,422061.7,4,1,2,7,Medium Value
167,34,12,858199.5700000001,3,3,4,10,High Value
168,27,14,711362.86,3,4,3,10,High Value
169,53,15,680641.51,2,4,3,9,Medium Value
170,48,7,526598.14,2,1,2,5,Low Value
171,38,10,565353.51,3,2,3,8,Medium Value
172,15,10,528876.61,4,2,2,8,Medium Value
173,30,6,496893.52,3,1,2,6,Low Value
174,42,10,591224.93,2,2,3,7,Medium Value
175,9,8,446897.76,4,1,2,7,Medium Value
176,5,11,577209.27,4,3,3,10,High Value
177,89,7,313854.37,1,1,1,3,Low Value
178,25,11,659324.62,3,3,3,9,Medium Value
179,58,13,785202.14,2,4,4,10,High Value
180,45,11,827508.9,2,3,4,9,Medium Value
181,117,6,327682.69,1,1,1,3,Low Value
182,16,9,505070.89999999997,4,2,2,8,Medium Value
183,28,9,797841.9,3,2,4,9,Medium Value
184,7,7,434604.74,4,1,2,7,Medium Value
185,76,17,971030.4,2,4,4,10,High Value
186,61,14,742312.88,2,4,4,10,High Value
187,26,7,667504.58,3,1,3,7,Medium Value
188,3,12,431939.81,4,3,2,9,Medium Value
189,79,11,567529.0,2,3,3,8,Medium Value
190,40,7,438822.6,3,1,2,6,Low Value
191,63,11,478728.24,2,3,2,7,Medium Value
192,296,6,188678.71,1,1,1,3,Low Value
193,138,4,196815.9,1,1,1,3,Low Value
194,104,11,503221.88,1,3,2,6,Low Value
195,4,8,536792.05,4,1,2,7,Medium Value
196,2,15,892637.52,4,4,4,12,High Value
197,246,7,261989.51,1,1,1,3,Low Value
198,4,12,555560.2,4,3,2,9,Medium Value
199,171,8,406225.95,1,1,1,3,Low Value
200,48,10,413199.08,2,2,1,5,Low Value
201,74,11,803307.63,2,3,4,9,Medium Value
202,5,13,564708.92,4,4,3,11,High Value
203,23,9,577168.27,3,2,3,8,Medium Value
204,12,12,717506.77,4,3,3,10,High Value
205,53,14,635170.98,2,4,3,9,Medium Value
206,23,10,515625.76,3,2,2,7,Medium Value
207,12,9,513810.24,4,2,2,8,Medium Value
208,132,15,848106.86,1,4,4,9,Medium Value
209,76,7,423091.12,2,1,2,5,Low Value
210,90,13,819553.78,1,4,4,9,Medium Value
211,94,8,316380.31,1,1,1,3,Low Value
212,40,14,943992.72,3,4,4,11,High Value
213,62,4,248531.72,2,1,1,4,Low Value
214,27,11,718013.27,3,3,3,9,Medium Value
215,113,9,593999.35,1,2,3,6,Low Value
216,117,9,482084.13,1,2,2,5,Low Value
217,6,11,530387.82,4,3,2,9,Medium Value
218,62,5,175310.16999999998,2,1,1,4,Low Value
219,69,9,516285.72,2,2,2,6,Low Value
220,12,11,571515.48,4,3,3,10,High Value
221,25,16,679689.52,3,4,3,10,High Value
222,24,9,720149.98,3,2,3,8,Medium Value
223,119,12,852943.5499999999,1,3,4,8,Medium Value
224,135,6,554919.49,1,1,2,4,Low Value
225,261,10,737407.3,1,2,4,7,Medium Value
226,14,9,570420.18,4,2,3,9,Medium Value
227,10,14,900651.62,4,4,4,12,High Value
228,43,16,925005.91,2,4,4,10,High Value
229,186,8,479952.88,1,1,2,4,Low Value
230,57,15,599749.78,2,4,3,9,Medium Value
231,69,13,915904.98,2,4,4,10,High Value
232,5,12,820199.18,4,3,4,11,High Value
233,21,9,524559.85,3,2,2,7,Medium Value
234,1,13,680657.14,4,4,3,11,High Value
235,69,7,433904.43,2,1,2,5,Low Value
236,188,7,416113.65,1,1,1,3,Low Value
237,43,11,722156.73,2,3,3,8,Medium Value
238,126,13,745905.75,1,4,4,9,Medium Value
239,36,13,865462.75,3,4,4,11,High Value
240,16,18,1357069.97,4,4,4,12,High Value
241,16,15,968999.67,4,4,4,12,High Value
242,23,10,575839.89,3,2,3,8,Medium Value
243,37,9,345860.17,3,2,1,6,Low Value
244,11,9,609573.35,4,2,3,9,Medium Value
245,50,13,532367.5,2,4,2,8,Medium Value
246,56,14,929743.9,2,4,4,10,High Value
247,60,14,695476.5,2,4,3,9,Medium Value
248,128,11,566511.63,1,3,3,7,Medium Value
249,118,9,622411.8,1,2,3,6,Low Value
250,123,11,593579.6100000001,1,3,3,7,Medium Value
251,46,7,414864.15,2,1,1,4,Low Value
252,42,7,286397.49,2,1,1,4,Low Value
253,207,10,496413.62,1,2,2,5,Low Value
254,57,5,507572.12,2,1,2,5,Low Value
255,97,8,545512.88,1,1,2,4,Low Value
256,12,11,825122.47,4,3,4,11,High Value
257,19,15,989088.46,3,4,4,11,High Value
258,32,11,589445.37,3,3,3,9,Medium Value
259,42,14,812109.28,2,4,4,10,High Value
260,127,14,844571.72,1,4,4,9,Medium Value
261,43,13,746831.38,2,4,4,10,High Value
262,25,10,789153.05,3,2,4,9,Medium Value
263,29,7,451267.05,3,1,2,6,Low Value
264,48,14,1026238.9,2,4,4,10,High Value
265,69,9,573723.5,2,2,3,7,Medium Value
266,12,13,562678.4400000001,4,4,3,11,High Value
267,20,11,583039.09,3,3,3,9,Medium Value
268,46,10,893927.8,2,2,4,8,Medium Value
269,61,10,695063.46,2,2,3,7,Medium Value
270,44,14,606427.56,2,4,3,9,Medium Value
271,52,12,820960.48,2,3,4,9,Medium Value
272,34,6,177317.3,3,1,1,5,Low Value
273,99,12,1081817.1,1,3,4,8,Medium Value
274,86,3,91047.03,1,1,1,3,Low Value
275,7,3,35728.869999999995,4,1,1,6,Low Value
276,163,14,1212138.2,1,4,4,9,Medium Value
277,23,8,341814.83,3,1,1,5,Low Value
278,49,10,586481.54,2,2,3,7,Medium Value
279,49,7,362103.29,2,1,1,4,Low Value
280,84,13,1007100.22,1,4,4,9,Medium Value
281,145,5,97637.52,1,1,1,3,Low Value
282,38,9,641871.15,3,2,3,8,Medium Value
283,52,8,515768.64,2,1,2,5,Low Value
284,22,11,753718.02,3,3,4,10,High Value
285,7,12,665285.7,4,3,3,10,High Value
286,37,7,478675.88999999996,3,1,2,6,Low Value
287,258,6,328557.69,1,1,1,3,Low Value
288,30,12,612329.9299999999,3,3,3,9,Medium Value
289,46,4,322523.48,2,1,1,4,Low Value
290,32,15,925384.8,3,4,4,11,High Value
291,35,18,975018.28,3,4,4,11,High Value
292,112,7,571531.91,1,1,3,5,Low Value
293,16,13,736920.61,4,4,4,12,High Value
294,5,11,493718.13,4,3,2,9,Medium Value
295,403,5,306841.49,1,1,1,3,Low Value
296,36,11,631380.7100000001,3,3,3,9,Medium Value
297,69,6,306855.86,2,1,1,4,Low Value
298,62,7,607730.39,2,1,3,6,Low Value
299,21,7,651381.6,3,1,3,7,Medium Value
300,28,15,834131.96,3,4,4,11,High Value
301,82,7,416707.02,2,1,1,4,Low Value
302,19,13,636717.39,3,4,3,10,High Value
303,98,6,609356.34,1,1,3,5,Low Value
304,5,18,1057868.9,4,4,4,12,High Value
305,74,9,897537.51,2,2,4,8,Medium Value
306,43,11,721032.79,2,3,3,8,Medium Value
307,37,11,834302.02,3,3,4,10,High Value
308,57,12,759653.57,2,3,4,9,Medium Value
309,116,12,660789.71,1,3,3,7,Medium Value
310,226,8,527650.76,1,1,2,4,Low Value
311,82,5,358285.06,2,1,1,4,Low Value
312,40,9,329958.86,3,2,1,6,Low Value
313,2,6,197682.55,4,1,1,6,Low Value
314,9,12,473401.41,4,3,2,9,Medium Value
315,141,6,476751.83,1,1,2,4,Low Value
316,134,8,175369.09999999998,1,1,1,3,Low Value
317,32,10,499560.98,3,2,2,7,Medium Value
318,47,12,928607.77,2,3,4,9,Medium Value
319,6,8,401047.55000000005,4,1,1,6,Low Value
320,89,10,573653.52,1,2,3,6,Low Value
321,13,4,231702.81,4,1,1,6,Low Value
322,3,9,618073.92,4,2,3,9,Medium Value
323,101,6,504853.92000000004,1,1,2,4,Low Value
324,53,6,285100.69,2,1,1,4,Low Value
325,21,8,422617.57,3,1,2,6,Low Value
326,16,7,461130.13,4,1,2,7,Medium Value
327,103,8,606763.77,1,1,3,5,Low Value
328,2,10,670704.49,4,2,3,9,Medium Value
329,67,15,872192.03,2,4,4,10,High Value
330,8,11,532216.88,4,3,2,9,Medium Value
331,77,7,665365.69,2,1,3,6,Low Value
332,17,16,955342.22,4,4,4,12,High Value
333,56,12,651897.34,2,3,3,8,Medium Value
334,57,9,480251.35000000003,2,2,2,6,Low Value
335,51,13,881684.46,2,4,4,10,High Value
336,15,13,729247.11,4,4,4,12,High Value
337,26,7,304998.38,3,1,1,5,Low Value
338,44,7,436218.28,2,1,2,5,Low Value
339,66,13,866329.98,2,4,4,10,High Value
340,17,11,546620.54,4,3,2,9,Medium Value
341,34,14,937911.8500000001,3,4,4,11,High Value
342,232,7,420929.11,1,1,2,4,Low Value
343,13,9,462729.14,4,2,2,8,Medium Value
344,22,10,812019.35,3,2,4,9,Medium Value
345,6,13,755686.66,4,4,4,12,High Value
346,60,8,586931.02,2,1,3,6,Low Value
347,110,6,542745.98,1,1,2,4,Low Value
348,22,8,370323.03,3,1,1,5,Low Value
349,14,11,1035896.5,4,3,4,11,High Value
350,59,12,714396.5,2,3,3,8,Medium Value
351,118,12,769313.52,1,3,4,8,Medium Value
352,2,6,165595.86,4,1,1,6,Low Value
353,100,11,578306.01,1,3,3,7,Medium Value
354,39,14,927446.3400000001,3,4,4,11,High Value
355,111,9,851476.05,1,2,4,7,Medium Value
356,103,10,621964.27,1,2,3,6,Low Value
357,18,10,535561.3400000001,3,2,2,7,Medium Value
358,12,12,408069.11,4,3,1,8,Medium Value
359,64,9,547964.94,2,2,2,6,Low Value
360,57,15,776956.04,2,4,4,10,High Value
361,50,15,1137585.47,2,4,4,10,High Value
362,4,12,631768.88,4,3,3,10,High Value
363,7,10,700825.14,4,2,3,9,Medium Value
364,121,12,996211.56,1,3,4,8,Medium Value
365,2,12,543683.05,4,3,2,9,Medium Value
366,5,7,439515.12,4,1,2,7,Medium Value
367,81,7,298548.64,2,1,1,4,Low Value
368,102,9,620092.21,1,2,3,6,Low Value
369,13,15,860609.47,4,4,4,12,High Value
370,91,7,289663.42,1,1,1,3,Low Value
371,22,10,867454.3200000001,3,2,4,9,Medium Value
372,97,4,141891.02,1,1,1,3,Low Value
373,164,6,344876.01,1,1,1,3,Low Value
374,11,7,466227.71,4,1,2,7,Medium Value
375,152,8,316931.86,1,1,1,3,Low Value
376,192,13,585437.09,1,4,3,8,Medium Value
377,23,14,1000435.3400000001,3,4,4,11,High Value
378,26,8,293369.05,3,1,1,5,Low Value
379,73,8,343882.25,2,1,1,4,Low Value
380,85,10,621655.64,1,2,3,6,Low Value
381,49,9,348830.38,2,2,1,5,Low Value
382,64,9,672087.33,2,2,3,7,Medium Value
383,78,10,715921.9299999999,2,2,3,7,Medium Value
384,49,13,576981.77,2,4,3,9,Medium Value
385,27,9,540343.28,3,2,2,7,Medium Value
386,98,8,419680.74,1,1,2,4,Low Value
387,13,10,553200.61,4,2,2,8,Medium Value
388,50,13,715659.77,2,4,3,9,Medium Value
389,114,9,745659.06,1,2,4,7,Medium Value
390,101,17,950610.06,1,4,4,9,Medium Value
391,60,9,539131.7,2,2,2,6,Low Value
392,69,15,787618.05,2,4,4,10,High Value
393,5,11,670743.61,4,3,3,10,High Value
394,70,16,1099309.58,2,4,4,10,High Value
395,16,11,540034.4,4,3,2,9,Medium Value
396,67,9,397734.44,2,2,1,5,Low Value
397,118,8,579585.05,1,1,3,5,Low Value
398,168,7,284618.96,1,1,1,3,Low Value
399,3,10,423832.87,4,2,2,8,Medium Value
400,42,11,565712.14,2,3,3,8,Medium Value
401,9,8,592259.12,4,1,3,8,Medium Value
402,31,11,474499.9,3,3,2,8,Medium Value
403,8,16,1003384.24,4,4,4,12,High Value
404,3,10,642897.29,4,2,3,9,Medium Value
405,22,9,589339.85,3,2,3,8,Medium Value
406,41,6,312242.55000000005,2,1,1,4,Low Value
407,60,8,245586.9,2,1,1,4,Low Value
408,24,12,677639.47,3,3,3,9,Medium Value
409,8,10,688595.51,4,2,3,9,Medium Value
410,54,8,653906.85,2,1,3,6,Low Value
411,9,7,454609.68000000005,4,1,2,7,Medium Value
412,2,14,564189.19,4,4,3,11,High Value
413,28,11,782751.34,3,3,4,10,High Value
414,43,9,714500.28,2,2,3,7,Medium Value
415,28,8,467768.84,3,1,2,6,Low Value
416,25,10,447102.44,3,2,2,7,Medium Value
417,59,13,791206.52,2,4,4,10,High Value
418,99,5,273058.1,1,1,1,3,Low Value
419,29,8,311221.99,3,1,1,5,Low Value
420,8,9,538506.25,4,2,2,8,Medium Value
421,4,16,1033920.04,4,4,4,12,High Value
422,47,10,570352.99,2,2,3,7,Medium Value
423,56,11,577369.25,2,3,3,8,Medium Value
424,101,5,463286.66000000003,1,1,2,4,Low Value
425,143,13,555353.65,1,4,2,7,Medium Value
426,71,10,810180.78,2,2,4,8,Medium Value
427,29,5,234807.66999999998,3,1,1,5,Low Value
428,127,8,438944.5,1,1,2,4,Low Value
429,14,6,228898.75,4,1,1,6,Low Value
430,60,8,382296.4,2,1,1,4,Low Value
431,72,6,438264.61,2,1,2,5,Low Value
432,26,9,498449.14,3,2,2,7,Medium Value
433,54,17,782404.78,2,4,4,10,High Value
434,29,8,734435.45,3,1,4,8,Medium Value
435,107,13,962541.3,1,4,4,9,Medium Value
436,1,13,731220.24,4,4,4,12,High Value
437,135,13,731610.58,1,4,4,9,Medium Value
438,35,10,567183.5700000001,3,2,3,8,Medium Value
439,21,6,470943.82,3,1,2,6,Low Value
440,151,8,584735.93,1,1,3,5,Low Value
441,40,17,1149326.32,3,4,4,11,High Value
442,86,8,433684.97000000003,1,1,2,4,Low Value
443,16,9,414553.52999999997,4,2,1,7,Medium Value
444,190,13,774861.71,1,4,4,9,Medium Value
445,149,5,60923.12,1,1,1,3,Low Value
446,32,9,699408.9,3,2,3,8,Medium Value
447,104,9,707942.24,1,2,3,6,Low Value
448,2,6,219993.19,4,1,1,6,Low Value
449,2,13,548725.42,4,4,2,10,High Value
450,21,20,1240545.0,3,4,4,11,High Value
451,39,9,470098.23,3,2,2,7,Medium Value
452,71,5,250003.06000000003,2,1,1,4,Low Value
453,34,13,764050.42,3,4,4,11,High Value
454,7,13,622236.29,4,4,3,11,High Value
455,63,5,325318.02999999997,2,1,1,4,Low Value
456,100,12,533544.28,1,3,2,6,Low Value
457,23,11,658096.24,3,3,3,9,Medium Value
458,1,7,279905.32,4,1,1,6,Low Value
459,72,9,611114.98,2,2,3,7,Medium Value
460,2,13,1007713.25,4,4,4,12,High Value
461,13,13,1011110.62,4,4,4,12,High Value
462,41,15,602574.39,2,4,3,9,Medium Value
463,24,8,480710.53,3,1,2,6,Low Value
464,42,9,689068.8,2,2,3,7,Medium Value
465,3,12,449110.77,4,3,2,9,Medium Value
466,15,6,278035.64,4,1,1,6,Low Value
467,22,8,437713.74,3,1,2,6,Low Value
468,120,8,240798.39,1,1,1,3,Low Value
469,5,10,505773.64,4,2,2,8,Medium Value
470,5,7,462663.23,4,1,2,7,Medium Value
471,8,13,738576.02,4,4,4,12,High Value
472,53,12,858444.59,2,3,4,9,Medium Value
473,50,16,731968.99,2,4,4,10,High Value
474,65,11,840224.78,2,3,4,9,Medium Value
475,107,9,496403.96,1,2,2,5,Low Value
476,4,8,417988.86,4,1,2,7,Medium Value
477,15,4,223321.55,4,1,1,6,Low Value
478,244,6,328548.12,1,1,1,3,Low Value
479,3,12,1020249.8300000001,4,3,4,11,High Value
480,8,12,492641.01,4,3,2,9,Medium Value
481,82,6,137334.43,2,1,1,4,Low Value
482,2,6,417249.92,4,1,2,7,Medium Value
483,21,11,636188.27,3,3,3,9,Medium Value
484,4,11,561862.4,4,3,3,10,High Value
485,118,7,324682.03,1,1,1,3,Low Value
486,121,7,665483.3300000001,1,1,3,5,Low Value
487,9,5,343784.70999999996,4,1,1,6,Low Value
488,2,9,364039.61,4,2,1,7,Medium Value
489,45,15,699875.11,2,4,3,9,Medium Value
490,57,9,241926.96,2,2,1,5,Low Value
491,29,9,720030.02,3,2,3,8,Medium Value
492,11,9,299536.44,4,2,1,7,Medium Value
493,196,7,806940.1699999999,1,1,4,6,Low Value
494,3,11,724393.41,4,3,3,10,High Value
495,121,6,488802.82,1,1,2,4,Low Value
496,1,11,864502.88,4,3,4,11,High Value
497,48,11,884816.54,2,3,4,9,Medium Value
498,12,17,1460544.48,4,4,4,12,High Value
499,9,8,484631.11,4,1,2,7,Medium Value
500,11,11,389196.44,4,3,1,8,Medium Value
501,19,12,645436.5499999999,3,3,3,9,Medium Value
502,22,3,245584.24,3,1,1,5,Low Value
503,59,11,581254.36,2,3,3,8,Medium Value
504,110,8,515552.78,1,1,2,4,Low Value
505,77,16,766882.22,2,4,4,10,High Value
506,28,12,703996.43,3,3,3,9,Medium Value
507,37,12,768682.63,3,3,4,10,High Value
508,49,8,323854.33999999997,2,1,1,4,Low Value
509,182,9,508517.89,1,2,2,5,Low Value
510,7,12,902353.5399999999,4,3,4,11,High Value
511,145,10,616119.0,1,2,3,6,Low Value
512,208,6,293764.99,1,1,1,3,Low Value
513,21,15,687232.61,3,4,3,10,High Value
514,70,12,461921.28,2,3,2,7,Medium Value
515,15,16,1001143.32,4,4,4,12,High Value
516,174,12,582637.78,1,3,3,7,Medium Value
517,4,10,510522.38999999996,4,2,2,8,Medium Value
518,38,11,729421.78,3,3,4,10,High Value
519,31,12,529598.61,3,3,2,8,Medium Value
520,119,7,472520.37,1,1,2,4,Low Value
521,93,5,274666.82,1,1,1,3,Low Value
522,17,14,880999.42,4,4,4,12,High Value
523,1,14,739803.14,4,4,4,12,High Value
524,83,12,749709.09,1,3,4,8,Medium Value
525,30,9,598535.24,3,2,3,8,Medium Value
526,1,9,470868.33999999997,4,2,2,8,Medium Value
527,92,7,289763.48,1,1,1,3,Low Value
528,76,9,707651.54,2,2,3,7,Medium Value
529,35,11,637122.0700000001,3,3,3,9,Medium Value
530,84,10,520436.69,1,2,2,5,Low Value
531,20,15,1193402.09,3,4,4,11,High Value
532,1,16,1265959.87,4,4,4,12,High Value
533,39,8,476853.82999999996,3,1,2,6,Low Value
534,86,12,720178.29,1,3,3,7,Medium Value
535,18,7,500379.73000000004,3,1,2,6,Low Value
536,101,12,459071.71,1,3,2,6,Low Value
537,27,9,613128.75,3,2,3,8,Medium Value
538,1,11,701305.28,4,3,3,10,High Value
539,12,11,503550.54000000004,4,3,2,9,Medium Value
540,172,12,597272.77,1,3,3,7,Medium Value
541,31,11,696078.3300000001,3,3,3,9,Medium Value
542,92,10,996650.22,1,2,4,7,Medium Value
543,143,15,1083538.85,1,4,4,9,Medium Value
544,118,8,410586.29,1,1,1,3,Low Value
545,105,13,858222.53,1,4,4,9,Medium Value
546,100,11,530300.87,1,3,2,6,Low Value
547,25,10,444688.01,3,2,2,7,Medium Value
548,165,6,233007.81,1,1,1,3,Low Value
549,49,6,242710.41,2,1,1,4,Low Value
550,7,6,304909.63,4,1,1,6,Low Value
551,26,7,357996.32,3,1,1,5,Low Value
552,65,8,400766.8,2,1,1,4,Low Value
553,92,8,522146.98,1,1,2,4,Low Value
554,208,7,506598.44999999995,1,1,2,4,Low Value
555,28,14,811999.28,3,4,4,11,High Value
556,64,20,1217544.7,2,4,4,10,High Value
557,33,8,516400.81000000006,3,1,2,6,Low Value
558,3,10,620220.5,4,2,3,9,Medium Value
559,130,8,391328.75,1,1,1,3,Low Value
560,1,12,256788.69,4,3,1,8,Medium Value
561,1,15,1079837.16,4,4,4,12,High Value
562,85,11,533055.91,1,3,2,6,Low Value
563,140,8,477279.63,1,1,2,4,Low Value
564,46,5,407461.03,2,1,1,4,Low Value
565,80,6,181788.96,2,1,1,4,Low Value
566,143,9,693372.4199999999,1,2,3,6,Low Value
