order_id,customer_id,product_id,order_date,quantity,price_order,total_amount,customer_name,age,city,gender,product_name,category,price_product,year,month,month_name,year_month
29,1774,10,2025-08-19,2,2693.21,5386.42,Customer_1774,33,Bangalore,Male,Product_10,Sports,2693.21,2025,8,Aug,2025-08
30,3516,4,2026-08-29,3,26660.27,79980.81,Customer_3516,64,Pune,Male,Product_4,Sports,26660.27,2026,8,Aug,2026-08
31,2996,27,2025-04-05,3,27547.37,82642.11,Customer_2996,39,Pune,Male,Product_27,Sports,27547.37,2025,4,Apr,2025-04
32,4257,59,2026-04-14,1,27544.34,27544.34,Customer_4257,51,Chennai,Female,Product_59,Home,27544.34,2026,4,Apr,2026-04
33,922,77,2026-03-15,4,35818.8,143275.2,Customer_922,51,Bangalore,Male,Product_77,Home,35818.8,2026,3,Mar,2026-03
34,1493,4,2025-08-13,3,26660.27,79980.81,Customer_1493,54,Bangalore,Female,Product_4,Sports,26660.27,2025,8,Aug,2025-08
35,89,94,2026-05-11,3,19133.71,57401.13,Customer_89,62,Pune,Female,Product_94,Clothing,19133.71,2026,5,May,2026-05
36,2013,18,2025-01-18,4,791.19,3164.76,Customer_2013,40,Delhi,Male,Product_18,Home,791.19,2025,1,Jan,2025-01
37,1680,55,2025-06-11,2,13367.33,26734.66,Customer_1680,31,Hyderabad,Male,Product_55,Home,13367.33,2025,6,Jun,2025-06
38,416,43,2025-07-18,3,20477.25,61431.75,Customer_416,21,Pune,Male,Product_43,Home,20477.25,2025,7,Jul,2025-07
39,4804,15,2026-06-01,3,20590.51,61771.53,Customer_4804,35,Bangalore,Female,Product_15,Electronics,20590.51,2026,6,Jun,2026-06
40,3247,82,2026-01-23,3,23900.14,71700.42,Customer_3247,53,Bangalore,Male,Product_82,Home,23900.14,2026,1,Jan,2026-01
41,3822,29,2026-03-17,3,49931.14,149793.42,Customer_3822,18,Hyderabad,Female,Product_29,Clothing,49931.14,2026,3,Mar,2026-03
42,1263,87,2026-03-24,4,16071.12,64284.48,Customer_1263,20,Pune,Female,Product_87,Beauty,16071.12,2026,3,Mar,2026-03
43,1572,100,2025-05-27,2,36835.0,73670.0,Customer_1572,63,Delhi,Female,Product_100,Sports,36835.0,2025,5,May,2025-05
44,4286,54,2026-02-10,4,29989.49,119957.96,Customer_4286,47,Hyderabad,Male,Product_54,Electronics,29989.49,2026,2,Feb,2026-02
45,772,66,2026-05-28,3,21733.34,65200.02,Customer_772,20,Hyderabad,Female,Product_66,Sports,21733.34,2026,5,May,2026-05
46,1410,19,2025-12-05,1,15172.65,15172.65,Customer_1410,26,Chennai,Male,Product_19,Beauty,15172.65,2025,12,Dec,2025-12
47,3316,55,2025-08-05,4,13367.33,53469.32,Customer_3316,45,Hyderabad,Male,Product_55,Home,13367.33,2025,8,Aug,2025-08
48,1234,13,2025-07-07,2,12485.08,24970.16,Customer_1234,45,Delhi,Female,Product_13,Electronics,12485.08,2025,7,Jul,2025-07
49,1290,88,2025-06-11,4,22537.42,90149.68,Customer_1290,36,Chennai,Male,Product_88,Sports,22537.42,2025,6,Jun,2025-06
50,2298,63,2025-09-17,3,38903.86,116711.58,Customer_2298,39,Chennai,Male,Product_63,Sports,38903.86,2025,9,Sep,2025-09
51,1953,20,2026-05-18,1,28988.14,28988.14,Customer_1953,45,Bangalore,Female,Product_20,Beauty,28988.14,2026,5,May,2026-05
52,3394,59,2026-03-21,2,27544.34,55088.68,Customer_3394,29,Chennai,Female,Product_59,Home,27544.34,2026,3,Mar,2026-03
53,2020,76,2025-04-25,1,245.11,245.11,Customer_2020,33,Pune,Male,Product_76,Home,245.11,2025,4,Apr,2025-04
54,4150,22,2026-07-24,2,26836.66,53673.32,Customer_4150,19,Chennai,Female,Product_22,Beauty,26836.66,2026,7,Jul,2026-07
55,4442,100,2025-07-11,2,36835.0,73670.0,Customer_4442,27,Pune,Female,Product_100,Sports,36835.0,2025,7,Jul,2025-07
56,2507,99,2026-02-09,2,1180.22,2360.44,Customer_2507,46,Hyderabad,Female,Product_99,Electronics,1180.22,2026,2,Feb,2026-02
57,678,36,2026-05-13,4,24519.08,98076.32,Customer_678,33,Hyderabad,Female,Product_36,Electronics,24519.08,2026,5,May,2026-05
58,388,67,2025-01-28,1,41467.62,41467.62,Customer_388,18,Bangalore,Male,Product_67,Clothing,41467.62,2025,1,Jan,2025-01
59,4138,68,2025-03-18,3,41179.83,123539.49,Customer_4138,54,Mumbai,Male,Product_68,Home,41179.83,2025,3,Mar,2025-03
60,4213,30,2026-08-26,2,11923.28,23846.56,Customer_4213,43,Hyderabad,Female,Product_30,Beauty,11923.28,2026,8,Aug,2026-08
61,2153,43,2026-03-20,4,20477.25,81909.0,Customer_2153,42,Chennai,Male,Product_43,Home,20477.25,2026,3,Mar,2026-03
62,4419,53,2025-01-07,3,3729.41,11188.23,Customer_4419,58,Mumbai,Female,Product_53,Home,3729.41,2025,1,Jan,2025-01
63,195,34,2026-02-18,4,660.78,2643.12,Customer_195,32,Hyderabad,Male,Product_34,Sports,660.78,2026,2,Feb,2026-02
64,2723,12,2025-05-01,3,3962.61,11887.83,Customer_2723,57,Pune,Male,Product_12,Clothing,3962.61,2025,5,May,2025-05
65,1549,100,2026-08-05,4,36835.0,147340.0,Customer_1549,32,Mumbai,Female,Product_100,Sports,36835.0,2026,8,Aug,2026-08
66,709,39,2026-06-16,1,14841.37,14841.37,Customer_709,63,Chennai,Male,Product_39,Beauty,14841.37,2026,6,Jun,2026-06
67,1314,1,2025-12-16,1,9860.9,9860.9,Customer_1314,39,Mumbai,Female,Product_1,Clothing,9860.9,2025,12,Dec,2025-12
68,3895,80,2025-04-26,1,12028.3,12028.3,Customer_3895,28,Hyderabad,Male,Product_80,Electronics,12028.3,2025,4,Apr,2025-04
69,3454,6,2025-02-05,1,39609.37,39609.37,Customer_3454,57,Pune,Male,Product_6,Beauty,39609.37,2025,2,Feb,2025-02
70,884,77,2025-01-06,1,35818.8,35818.8,Customer_884,31,Mumbai,Female,Product_77,Home,35818.8,2025,1,Jan,2025-01
71,3108,100,2026-07-19,2,36835.0,73670.0,Customer_3108,62,Hyderabad,Male,Product_100,Sports,36835.0,2026,7,Jul,2026-07
72,4423,56,2026-03-05,3,26475.7,79427.1,Customer_4423,19,Chennai,Male,Product_56,Clothing,26475.7,2026,3,Mar,2026-03
73,1239,22,2026-07-12,2,26836.66,53673.32,Customer_1239,25,Pune,Female,Product_22,Beauty,26836.66,2026,7,Jul,2026-07
74,4449,96,2025-11-22,2,33224.76,66449.52,Customer_4449,19,Pune,Male,Product_96,Clothing,33224.76,2025,11,Nov,2025-11
75,1015,12,2026-07-07,4,3962.61,15850.44,Customer_1015,47,Hyderabad,Female,Product_12,Clothing,3962.61,2026,7,Jul,2026-07
76,1207,98,2026-05-24,3,34248.24,102744.72,Customer_1207,37,Delhi,Female,Product_98,Home,34248.24,2026,5,May,2026-05
77,3840,48,2025-03-07,2,8037.45,16074.9,Customer_3840,43,Bangalore,Male,Product_48,Home,8037.45,2025,3,Mar,2025-03
78,2723,28,2026-01-06,2,47465.8,94931.6,Customer_2723,57,Pune,Male,Product_28,Clothing,47465.8,2026,1,Jan,2026-01
79,3155,64,2025-08-01,2,14413.18,28826.36,Customer_3155,38,Hyderabad,Female,Product_64,Sports,14413.18,2025,8,Aug,2025-08
80,2691,73,2025-07-14,3,14958.13,44874.39,Customer_2691,28,Mumbai,Female,Product_73,Electronics,14958.13,2025,7,Jul,2025-07
81,2418,47,2025-05-19,1,25518.62,25518.62,Customer_2418,50,Pune,Female,Product_47,Clothing,25518.62,2025,5,May,2025-05
82,633,29,2026-07-19,1,49931.14,49931.14,Customer_633,56,Pune,Female,Product_29,Clothing,49931.14,2026,7,Jul,2026-07
83,3742,89,2026-08-26,1,31386.99,31386.99,Customer_3742,51,Chennai,Female,Product_89,Clothing,31386.99,2026,8,Aug,2026-08
84,1762,58,2025-07-04,3,46232.85,138698.55,Customer_1762,31,Chennai,Male,Product_58,Home,46232.85,2025,7,Jul,2025-07
85,4282,54,2025-03-10,2,29989.49,59978.98,Customer_4282,58,Delhi,Female,Product_54,Electronics,29989.49,2025,3,Mar,2025-03
86,4779,25,2026-05-26,1,13445.51,13445.51,Customer_4779,33,Delhi,Female,Product_25,Home,13445.51,2026,5,May,2026-05
87,3389,37,2026-07-05,2,1323.97,2647.94,Customer_3389,36,Pune,Female,Product_37,Electronics,1323.97,2026,7,Jul,2026-07
88,2370,56,2025-12-18,4,26475.7,105902.8,Customer_2370,47,Delhi,Female,Product_56,Clothing,26475.7,2025,12,Dec,2025-12
89,3540,20,2026-01-28,4,28988.14,115952.56,Customer_3540,60,Mumbai,Male,Product_20,Beauty,28988.14,2026,1,Jan,2026-01
90,798,3,2026-01-23,1,25357.17,25357.17,Customer_798,55,Hyderabad,Male,Product_3,Beauty,25357.17,2026,1,Jan,2026-01
91,1754,8,2025-04-03,2,39083.12,78166.24,Customer_1754,56,Delhi,Male,Product_8,Beauty,39083.12,2025,4,Apr,2025-04
92,4250,7,2026-07-10,1,29152.05,29152.05,Customer_4250,51,Hyderabad,Male,Product_7,Clothing,29152.05,2026,7,Jul,2026-07
93,1067,78,2026-06-25,1,8725.0,8725.0,Customer_1067,57,Pune,Female,Product_78,Beauty,8725.0,2026,6,Jun,2026-06
94,3368,71,2025-07-29,1,14674.02,14674.02,Customer_3368,26,Mumbai,Male,Product_71,Home,14674.02,2025,7,Jul,2025-07
95,1179,51,2026-02-16,2,5697.63,11395.26,Customer_1179,52,Pune,Female,Product_51,Clothing,5697.63,2026,2,Feb,2026-02
96,4318,73,2026-05-02,4,14958.13,59832.52,Customer_4318,18,Delhi,Male,Product_73,Electronics,14958.13,2026,5,May,2026-05
97,3953,99,2025-11-28,1,1180.22,1180.22,Customer_3953,18,Delhi,Male,Product_99,Electronics,1180.22,2025,11,Nov,2025-11
98,1433,37,2025-03-04,1,1323.97,1323.97,Customer_1433,34,Delhi,Male,Product_37,Electronics,1323.97,2025,3,Mar,2025-03
99,1557,15,2025-02-02,3,20590.51,61771.53,Customer_1557,60,Bangalore,Male,Product_15,Electronics,20590.51,2025,2,Feb,2025-02
100,640,12,2025-08-19,4,3962.61,15850.44,Customer_640,62,Chennai,Female,Product_12,Clothing,3962.61,2025,8,Aug,2025-08
101,3332,76,2026-05-26,4,245.11,980.44,Customer_3332,40,Delhi,Female,Product_76,Home,245.11,2026,5,May,2026-05
102,3575,91,2026-05-18,2,9608.7,19217.4,Customer_3575,51,Hyderabad,Male,Product_91,Beauty,9608.7,2026,5,May,2026-05
103,4349,4,2025-08-26,1,26660.27,26660.27,Customer_4349,34,Hyderabad,Female,Product_4,Sports,26660.27,2025,8,Aug,2025-08
104,3671,4,2026-01-12,4,26660.27,106641.08,Customer_3671,48,Delhi,Female,Product_4,Sports,26660.27,2026,1,Jan,2026-01
105,1765,27,2025-10-10,3,27547.37,82642.11,Customer_1765,28,Bangalore,Male,Product_27,Sports,27547.37,2025,10,Oct,2025-10
106,425,82,2025-08-18,1,23900.14,23900.14,Customer_425,30,Hyderabad,Male,Product_82,Home,23900.14,2025,8,Aug,2025-08
107,513,9,2025-02-08,4,9750.32,39001.28,Customer_513,30,Hyderabad,Male,Product_9,Clothing,9750.32,2025,2,Feb,2025-02
108,1374,28,2026-01-20,2,47465.8,94931.6,Customer_1374,38,Mumbai,Male,Product_28,Clothing,47465.8,2026,1,Jan,2026-01
109,1114,25,2026-05-06,1,13445.51,13445.51,Customer_1114,48,Chennai,Female,Product_25,Home,13445.51,2026,5,May,2026-05
110,4548,41,2026-05-04,1,15185.77,15185.77,Customer_4548,32,Pune,Female,Product_41,Home,15185.77,2026,5,May,2026-05
111,4767,62,2026-04-24,2,47464.16,94928.32,Customer_4767,24,Mumbai,Male,Product_62,Sports,47464.16,2026,4,Apr,2026-04
112,4264,83,2025-01-06,1,2419.59,2419.59,Customer_4264,23,Delhi,Male,Product_83,Home,2419.59,2025,1,Jan,2025-01
113,3342,14,2025-11-13,3,34826.88,104480.64,Customer_3342,44,Bangalore,Male,Product_14,Sports,34826.88,2025,11,Nov,2025-11
114,4666,62,2025-08-26,2,47464.16,94928.32,Customer_4666,49,Hyderabad,Female,Product_62,Sports,47464.16,2025,8,Aug,2025-08
115,567,15,2025-01-11,2,20590.51,41181.02,Customer_567,58,Chennai,Female,Product_15,Electronics,20590.51,2025,1,Jan,2025-01
116,3286,5,2026-03-04,2,40317.93,80635.86,Customer_3286,26,Mumbai,Male,Product_5,Beauty,40317.93,2026,3,Mar,2026-03
117,1985,59,2025-12-04,4,27544.34,110177.36,Customer_1985,31,Chennai,Female,Product_59,Home,27544.34,2025,12,Dec,2025-12
118,1469,40,2026-03-29,4,28082.68,112330.72,Customer_1469,31,Chennai,Male,Product_40,Sports,28082.68,2026,3,Mar,2026-03
119,2020,80,2026-02-07,4,12028.3,48113.2,Customer_2020,33,Pune,Male,Product_80,Electronics,12028.3,2026,2,Feb,2026-02
120,960,55,2026-05-01,3,13367.33,40101.99,Customer_960,28,Pune,Male,Product_55,Home,13367.33,2026,5,May,2026-05
121,2691,23,2025-03-12,3,43854.59,131563.77,Customer_2691,28,Mumbai,Female,Product_23,Electronics,43854.59,2025,3,Mar,2025-03
122,2168,57,2025-03-11,2,25969.56,51939.12,Customer_2168,55,Chennai,Female,Product_57,Electronics,25969.56,2025,3,Mar,2025-03
123,2031,97,2026-06-11,2,17217.25,34434.5,Customer_2031,60,Pune,Male,Product_97,Home,17217.25,2026,6,Jun,2026-06
124,3370,62,2026-08-04,2,47464.16,94928.32,Customer_3370,54,Mumbai,Female,Product_62,Sports,47464.16,2026,8,Aug,2026-08
125,3559,69,2026-05-07,3,9605.74,28817.22,Customer_3559,64,Mumbai,Male,Product_69,Beauty,9605.74,2026,5,May,2026-05
126,3719,71,2025-12-01,2,14674.02,29348.04,Customer_3719,51,Hyderabad,Female,Product_71,Home,14674.02,2025,12,Dec,2025-12
127,791,9,2026-06-01,2,9750.32,19500.64,Customer_791,55,Hyderabad,Female,Product_9,Clothing,9750.32,2026,6,Jun,2026-06
128,3614,94,2025-01-17,1,19133.71,19133.71,Customer_3614,28,Delhi,Male,Product_94,Clothing,19133.71,2025,1,Jan,2025-01
129,1324,57,2026-05-01,4,25969.56,103878.24,Customer_1324,34,Hyderabad,Male,Product_57,Electronics,25969.56,2026,5,May,2026-05
130,4668,5,2026-07-07,1,40317.93,40317.93,Customer_4668,53,Pune,Male,Product_5,Beauty,40317.93,2026,7,Jul,2026-07
131,4787,58,2026-08-26,1,46232.85,46232.85,Customer_4787,58,Bangalore,Male,Product_58,Home,46232.85,2026,8,Aug,2026-08
132,155,44,2025-09-20,3,11767.21,35301.63,Customer_155,62,Pune,Female,Product_44,Sports,11767.21,2025,9,Sep,2025-09
133,917,4,2025-10-02,4,26660.27,106641.08,Customer_917,35,Hyderabad,Female,Product_4,Sports,26660.27,2025,10,Oct,2025-10
134,955,3,2025-09-07,2,25357.17,50714.34,Customer_955,48,Mumbai,Male,Product_3,Beauty,25357.17,2025,9,Sep,2025-09
135,2183,53,2025-08-04,2,3729.41,7458.82,Customer_2183,19,Mumbai,Male,Product_53,Home,3729.41,2025,8,Aug,2025-08
136,2666,25,2025-01-12,4,13445.51,53782.04,Customer_2666,42,Delhi,Male,Product_25,Home,13445.51,2025,1,Jan,2025-01
137,4888,49,2026-06-16,4,33614.54,134458.16,Customer_4888,47,Pune,Female,Product_49,Clothing,33614.54,2026,6,Jun,2026-06
138,4322,37,2026-02-25,1,1323.97,1323.97,Customer_4322,58,Pune,Female,Product_37,Electronics,1323.97,2026,2,Feb,2026-02
139,2867,56,2026-03-07,3,26475.7,79427.1,Customer_2867,23,Pune,Male,Product_56,Clothing,26475.7,2026,3,Mar,2026-03
140,3548,9,2026-07-07,1,9750.32,9750.32,Customer_3548,54,Hyderabad,Male,Product_9,Clothing,9750.32,2026,7,Jul,2026-07
141,4377,24,2025-07-06,4,45641.76,182567.04,Customer_4377,33,Pune,Male,Product_24,Sports,45641.76,2025,7,Jul,2025-07
142,4383,49,2025-06-04,3,33614.54,100843.62,Customer_4383,29,Bangalore,Male,Product_49,Clothing,33614.54,2025,6,Jun,2025-06
143,2717,50,2025-12-11,3,37746.1,113238.3,Customer_2717,35,Pune,Male,Product_50,Sports,37746.1,2025,12,Dec,2025-12
144,74,54,2026-01-11,1,29989.49,29989.49,Customer_74,31,Bangalore,Male,Product_54,Electronics,29989.49,2026,1,Jan,2026-01
145,2020,2,2025-03-12,2,14385.66,28771.32,Customer_2020,33,Pune,Male,Product_2,Electronics,14385.66,2025,3,Mar,2025-03
146,1024,72,2026-06-12,3,15015.13,45045.39,Customer_1024,52,Hyderabad,Female,Product_72,Electronics,15015.13,2026,6,Jun,2026-06
147,2937,53,2025-01-30,3,3729.41,11188.23,Customer_2937,48,Hyderabad,Female,Product_53,Home,3729.41,2025,1,Jan,2025-01
148,1340,94,2025-12-07,4,19133.71,76534.84,Customer_1340,51,Hyderabad,Female,Product_94,Clothing,19133.71,2025,12,Dec,2025-12
149,285,29,2025-05-23,3,49931.14,149793.42,Customer_285,57,Hyderabad,Male,Product_29,Clothing,49931.14,2025,5,May,2025-05
150,4848,88,2026-01-25,3,22537.42,67612.26,Customer_4848,26,Hyderabad,Female,Product_88,Sports,22537.42,2026,1,Jan,2026-01
151,2423,66,2025-07-19,2,21733.34,43466.68,Customer_2423,38,Mumbai,Female,Product_66,Sports,21733.34,2025,7,Jul,2025-07
152,2061,44,2025-01-22,4,11767.21,47068.84,Customer_2061,50,Chennai,Male,Product_44,Sports,11767.21,2025,1,Jan,2025-01
153,3974,60,2025-05-17,3,29233.32,87699.96,Customer_3974,50,Delhi,Male,Product_60,Sports,29233.32,2025,5,May,2025-05
154,461,10,2026-06-25,2,2693.21,5386.42,Customer_461,22,Mumbai,Male,Product_10,Sports,2693.21,2026,6,Jun,2026-06
155,935,99,2026-06-25,2,1180.22,2360.44,Customer_935,23,Hyderabad,Male,Product_99,Electronics,1180.22,2026,6,Jun,2026-06
156,4638,47,2025-12-28,3,25518.62,76555.86,Customer_4638,38,Mumbai,Male,Product_47,Clothing,25518.62,2025,12,Dec,2025-12
157,4063,79,2025-08-18,1,5403.22,5403.22,Customer_4063,22,Chennai,Male,Product_79,Electronics,5403.22,2025,8,Aug,2025-08
158,3453,66,2026-03-15,4,21733.34,86933.36,Customer_3453,47,Mumbai,Male,Product_66,Sports,21733.34,2026,3,Mar,2026-03
159,4673,29,2026-05-25,4,49931.14,199724.56,Customer_4673,33,Chennai,Male,Product_29,Clothing,49931.14,2026,5,May,2026-05
160,823,16,2025-08-14,1,43840.44,43840.44,Customer_823,40,Pune,Male,Product_16,Sports,43840.44,2025,8,Aug,2025-08
161,4831,53,2026-06-01,4,3729.41,14917.64,Customer_4831,21,Hyderabad,Female,Product_53,Home,3729.41,2026,6,Jun,2026-06
162,3585,43,2025-11-01,2,20477.25,40954.5,Customer_3585,21,Delhi,Female,Product_43,Home,20477.25,2025,11,Nov,2025-11
163,8,19,2025-02-13,2,15172.65,30345.3,Customer_8,36,Mumbai,Female,Product_19,Beauty,15172.65,2025,2,Feb,2025-02
164,293,34,2025-08-12,1,660.78,660.78,Customer_293,63,Mumbai,Female,Product_34,Sports,660.78,2025,8,Aug,2025-08
165,2191,27,2026-04-02,4,27547.37,110189.48,Customer_2191,51,Bangalore,Male,Product_27,Sports,27547.37,2026,4,Apr,2026-04
166,2846,83,2025-11-10,2,2419.59,4839.18,Customer_2846,36,Bangalore,Female,Product_83,Home,2419.59,2025,11,Nov,2025-11
167,1262,7,2025-07-19,4,29152.05,116608.2,Customer_1262,54,Mumbai,Male,Product_7,Clothing,29152.05,2025,7,Jul,2025-07
168,1121,34,2026-03-24,2,660.78,1321.56,Customer_1121,37,Bangalore,Male,Product_34,Sports,660.78,2026,3,Mar,2026-03
169,2253,44,2025-02-20,3,11767.21,35301.63,Customer_2253,21,Delhi,Female,Product_44,Sports,11767.21,2025,2,Feb,2025-02
170,3393,25,2026-01-20,3,13445.51,40336.53,Customer_3393,62,Bangalore,Male,Product_25,Home,13445.51,2026,1,Jan,2026-01
171,1023,16,2025-12-05,1,43840.44,43840.44,Customer_1023,29,Delhi,Female,Product_16,Sports,43840.44,2025,12,Dec,2025-12
172,236,35,2025-08-01,3,23136.19,69408.57,Customer_236,46,Chennai,Male,Product_35,Home,23136.19,2025,8,Aug,2025-08
173,244,57,2025-10-07,3,25969.56,77908.68,Customer_244,37,Chennai,Male,Product_57,Electronics,25969.56,2025,10,Oct,2025-10
174,1907,90,2026-05-21,1,7489.38,7489.38,Customer_1907,39,Hyderabad,Female,Product_90,Electronics,7489.38,2026,5,May,2026-05
175,2167,29,2025-08-29,2,49931.14,99862.28,Customer_2167,61,Mumbai,Female,Product_29,Clothing,49931.14,2025,8,Aug,2025-08
176,2263,66,2025-09-03,1,21733.34,21733.34,Customer_2263,39,Bangalore,Male,Product_66,Sports,21733.34,2025,9,Sep,2025-09
177,4069,28,2025-06-07,3,47465.8,142397.4,Customer_4069,27,Bangalore,Male,Product_28,Clothing,47465.8,2025,6,Jun,2025-06
178,3548,29,2026-03-28,1,49931.14,49931.14,Customer_3548,54,Hyderabad,Male,Product_29,Clothing,49931.14,2026,3,Mar,2026-03
179,174,29,2026-02-25,3,49931.14,149793.42,Customer_174,47,Chennai,Male,Product_29,Clothing,49931.14,2026,2,Feb,2026-02
180,1345,86,2025-07-26,1,16295.06,16295.06,Customer_1345,35,Mumbai,Male,Product_86,Clothing,16295.06,2025,7,Jul,2025-07
181,4729,15,2026-01-03,1,20590.51,20590.51,Customer_4729,31,Mumbai,Male,Product_15,Electronics,20590.51,2026,1,Jan,2026-01
182,4196,60,2025-11-30,3,29233.32,87699.96,Customer_4196,28,Bangalore,Female,Product_60,Sports,29233.32,2025,11,Nov,2025-11
183,1933,44,2025-04-29,2,11767.21,23534.42,Customer_1933,39,Mumbai,Female,Product_44,Sports,11767.21,2025,4,Apr,2025-04
184,4163,62,2026-07-09,3,47464.16,142392.48,Customer_4163,26,Hyderabad,Male,Product_62,Sports,47464.16,2026,7,Jul,2026-07
185,2607,18,2026-05-04,3,791.19,2373.57,Customer_2607,27,Mumbai,Male,Product_18,Home,791.19,2026,5,May,2026-05
186,3440,39,2026-05-01,4,14841.37,59365.48,Customer_3440,35,Bangalore,Female,Product_39,Beauty,14841.37,2026,5,May,2026-05
187,2351,43,2025-03-23,1,20477.25,20477.25,Customer_2351,49,Chennai,Male,Product_43,Home,20477.25,2025,3,Mar,2025-03
188,2114,1,2025-01-14,4,9860.9,39443.6,Customer_2114,36,Chennai,Female,Product_1,Clothing,9860.9,2025,1,Jan,2025-01
189,2512,21,2026-05-29,2,18921.73,37843.46,Customer_2512,19,Bangalore,Female,Product_21,Electronics,18921.73,2026,5,May,2026-05
190,2947,2,2026-01-29,1,14385.66,14385.66,Customer_2947,37,Mumbai,Male,Product_2,Electronics,14385.66,2026,1,Jan,2026-01
191,4447,62,2026-03-05,4,47464.16,189856.64,Customer_4447,27,Pune,Male,Product_62,Sports,47464.16,2026,3,Mar,2026-03
192,54,14,2025-05-28,4,34826.88,139307.52,Customer_54,61,Delhi,Male,Product_14,Sports,34826.88,2025,5,May,2025-05
193,1310,60,2025-07-09,4,29233.32,116933.28,Customer_1310,26,Chennai,Male,Product_60,Sports,29233.32,2025,7,Jul,2025-07
194,183,85,2026-07-18,3,35859.94,107579.82,Customer_183,58,Mumbai,Male,Product_85,Electronics,35859.94,2026,7,Jul,2026-07
195,412,66,2026-03-09,2,21733.34,43466.68,Customer_412,61,Delhi,Female,Product_66,Sports,21733.34,2026,3,Mar,2026-03
